english,portuguese,level,category,grammar_points
I am going to the post office at 3:00 p.m. to cook at home.,Eu vou ao os correios às 15:00 para cozinhar em casa.,A2,plans,"[""going to""]"
I am going to the post office at 8:00 p.m. to watch a movie.,Eu vou ao os correios às 20:00 para assistir a um filme.,A2,plans,"[""going to""]"
I am waiting for Kevin at the park.,Eu estou esperando Kevin no o parque.,A2,conversation,"[""present continuous""]"
I am going to the pharmacy at 5:00 p.m. to meet friends.,Eu vou ao a farmácia às 17:00 para encontrar amigos.,A2,plans,"[""going to""]"
Turn left at the the supermarket.,Vire à esquerda no o supermercado.,A2,transport,"[""directions""]"
I picked up eggs at the grocery store.,Eu peguei ovos na mercado.,A2,shopping,"[""present simple""]"
I am going to the mall at 1:00 p.m. to go grocery shopping.,Eu vou ao o shopping às 13:00 para fazer compras.,A2,plans,"[""going to""]"
I am going to the library at 5:00 p.m. to watch a movie.,Eu vou ao a biblioteca às 17:00 para assistir a um filme.,A2,plans,"[""going to""]"
I am going to the office at 1:00 p.m. to work out.,Eu vou ao o escritório às 13:00 para treinar.,A2,plans,"[""going to""]"
I am going to the pharmacy at noon to visit family.,Eu vou ao a farmácia às meio-dia para visitar a família.,A2,plans,"[""going to""]"
I am going to the mall at 8:00 p.m. to watch a movie.,Eu vou ao o shopping às 20:00 para assistir a um filme.,A2,plans,"[""going to""]"
I am going to the park at 3:00 p.m. to cook at home.,Eu vou ao o parque às 15:00 para cozinhar em casa.,A2,plans,"[""going to""]"
I am going to the park at 5:00 p.m. to go for a walk.,Eu vou ao o parque às 17:00 para fazer uma caminhada.,A2,plans,"[""going to""]"
I am going to the office at 7:00 p.m. to read a book.,Eu vou ao o escritório às 19:00 para ler um livro.,A2,plans,"[""going to""]"
I am going to the gym at 10:00 a.m. to go grocery shopping.,Eu vou ao a academia às 10:00 para fazer compras.,A2,plans,"[""going to""]"
I am going to the pharmacy at 9:00 a.m. to go for a walk.,Eu vou ao a farmácia às 9:00 para fazer uma caminhada.,A2,plans,"[""going to""]"
I am going to the mall at 3:00 p.m. to pay bills.,Eu vou ao o shopping às 15:00 para pagar contas.,A2,plans,"[""going to""]"
I am going to the library at 5:00 p.m. to read a book.,Eu vou ao a biblioteca às 17:00 para ler um livro.,A2,plans,"[""going to""]"
I am going to the post office at 3:00 p.m. to work out.,Eu vou ao os correios às 15:00 para treinar.,A2,plans,"[""going to""]"
I usually take the ride-share to the library.,Eu normalmente pego o carro por aplicativo para a biblioteca.,A2,transport,"[""present simple""]"
I am going to the office at noon to study English.,Eu vou ao o escritório às meio-dia para estudar inglês.,A2,plans,"[""going to""]"
I am going to the library at 9:00 a.m. to go grocery shopping.,Eu vou ao a biblioteca às 9:00 para fazer compras.,A2,plans,"[""going to""]"
I am waiting for Luis at the library.,Eu estou esperando Luís no a biblioteca.,A2,conversation,"[""present continuous""]"
I am going to the post office at 8:00 p.m. to meet friends.,Eu vou ao os correios às 20:00 para encontrar amigos.,A2,plans,"[""going to""]"
I meet my friend at the mall on Friday.,Eu encontro meu amigo no o shopping na sexta-feira.,A2,daily_routine,"[""present simple""]"
I picked up medicine at the clothing store.,Eu peguei remédio na loja de roupas.,A2,shopping,"[""present simple""]"
I am going to the gym at 1:00 p.m. to work out.,Eu vou ao a academia às 13:00 para treinar.,A2,plans,"[""going to""]"
I am going to the pharmacy at 8:00 p.m. to work out.,Eu vou ao a farmácia às 20:00 para treinar.,A2,plans,"[""going to""]"
I am going to the park at 8:00 a.m. to cook at home.,Eu vou ao o parque às 8:00 para cozinhar em casa.,A2,plans,"[""going to""]"
I am going to the supermarket at 8:00 a.m. to pay bills.,Eu vou ao o supermercado às 8:00 para pagar contas.,A2,plans,"[""going to""]"
I am going to the library at 1:00 p.m. to pay bills.,Eu vou ao a biblioteca às 13:00 para pagar contas.,A2,plans,"[""going to""]"
I am going to the office at 8:00 p.m. to meet friends.,Eu vou ao o escritório às 20:00 para encontrar amigos.,A2,plans,"[""going to""]"
I am going to the library at 7:00 p.m. to read a book.,Eu vou ao a biblioteca às 19:00 para ler um livro.,A2,plans,"[""going to""]"
I am going to downtown at 3:00 p.m. to cook at home.,Eu vou ao o centro às 15:00 para cozinhar em casa.,A2,plans,"[""going to""]"
I am going to the post office at 3:00 p.m. to go for a walk.,Eu vou ao os correios às 15:00 para fazer uma caminhada.,A2,plans,"[""going to""]"
I meet my sister at the bank on Sunday.,Eu encontro minha irmã no o banco na domingo.,A2,daily_routine,"[""present simple""]"
I am paying $20 for paper towels.,Eu estou pagando $20 por papel toalha.,A2,shopping,"[""present continuous""]"
I am going to the office at 7:00 a.m. to work out.,Eu vou ao o escritório às 7:00 para treinar.,A2,plans,"[""going to""]"
I am going to the park at 1:00 p.m. to watch a movie.,Eu vou ao o parque às 13:00 para assistir a um filme.,A2,plans,"[""going to""]"
I am going to the library at noon to go grocery shopping.,Eu vou ao a biblioteca às meio-dia para fazer compras.,A2,plans,"[""going to""]"
I am going to the mall at 5:00 p.m. to study English.,Eu vou ao o shopping às 17:00 para estudar inglês.,A2,plans,"[""going to""]"
I am going to the mall at 7:00 p.m. to visit family.,Eu vou ao o shopping às 19:00 para visitar a família.,A2,plans,"[""going to""]"
I meet my brother at downtown on Sunday.,Eu encontro meu irmão no o centro na domingo.,A2,daily_routine,"[""present simple""]"
I am going to the gym at 8:00 a.m. to go grocery shopping.,Eu vou ao a academia às 8:00 para fazer compras.,A2,plans,"[""going to""]"
I am going to the park at 10:00 a.m. to study English.,Eu vou ao o parque às 10:00 para estudar inglês.,A2,plans,"[""going to""]"
We are going to a concert this afternoon.,Nós vamos a um show hoje à tarde.,A2,leisure,"[""present continuous""]"
I usually take the ride-share to the post office.,Eu normalmente pego o carro por aplicativo para os correios.,A2,transport,"[""present simple""]"
I am going to downtown at 8:00 p.m. to read a book.,Eu vou ao o centro às 20:00 para ler um livro.,A2,plans,"[""going to""]"
I meet my sister at the pharmacy on Tuesday.,Eu encontro minha irmã no a farmácia na terça-feira.,A2,daily_routine,"[""present simple""]"
How much is this shampoo?,Quanto custa este shampoo?,A2,conversation,"[""present simple questions""]"
I meet my friend at the mall on Sunday.,Eu encontro meu amigo no o shopping na domingo.,A2,daily_routine,"[""present simple""]"
I am going to the bank at 5:00 p.m. to cook at home.,Eu vou ao o banco às 17:00 para cozinhar em casa.,A2,plans,"[""going to""]"
I meet my sister at the post office on Saturday.,Eu encontro minha irmã no os correios na sábado.,A2,daily_routine,"[""present simple""]"
I am going to the bank to study English.,Eu vou ao o banco para estudar inglês.,A2,plans,"[""going to""]"
I am going to the pharmacy at 1:00 p.m. to go for a walk.,Eu vou ao a farmácia às 13:00 para fazer uma caminhada.,A2,plans,"[""going to""]"
I am going to the bank at 10:00 a.m. to meet friends.,Eu vou ao o banco às 10:00 para encontrar amigos.,A2,plans,"[""going to""]"
I am clean the kitchen right now.,Eu estou limpar a cozinha agora.,A2,home,"[""present continuous""]"
I need to buy rice and beans at the clothing store.,Eu preciso comprar arroz e feijão na loja de roupas.,A2,shopping,"[""need to""]"
I am waiting for Luis at the gym.,Eu estou esperando Luís no a academia.,A2,conversation,"[""present continuous""]"
I usually take the bike to the library.,Eu normalmente pego o bicicleta para a biblioteca.,A2,transport,"[""present simple""]"
I usually take the car to the gym.,Eu normalmente pego o carro para a academia.,A2,transport,"[""present simple""]"
I have a haircut on Thursday.,Eu tenho um corte de cabelo na quinta-feira.,A2,work,"[""present simple""]"
I am going to the office at 10:00 a.m. to meet friends.,Eu vou ao o escritório às 10:00 para encontrar amigos.,A2,plans,"[""going to""]"
The coffee shop is closed on Tuesday.,A cafeteria fecha na terça-feira.,A2,shopping,"[""present simple""]"
We are going to a birthday party this morning.,Nós vamos a um festa de aniversário hoje de manhã.,A2,leisure,"[""present continuous""]"
I meet my sister at downtown on Tuesday.,Eu encontro minha irmã no o centro na terça-feira.,A2,daily_routine,"[""present simple""]"
I am going to the post office at 6:00 a.m. to work out.,Eu vou ao os correios às 6:00 para treinar.,A2,plans,"[""going to""]"
I am going to the office to study English.,Eu vou ao o escritório para estudar inglês.,A2,plans,"[""going to""]"
I am going to the office at 1:00 p.m. to watch a movie.,Eu vou ao o escritório às 13:00 para assistir a um filme.,A2,plans,"[""going to""]"
I am going to the mall at 8:00 a.m. to cook at home.,Eu vou ao o shopping às 8:00 para cozinhar em casa.,A2,plans,"[""going to""]"
I am going to downtown at 7:00 a.m. to work out.,Eu vou ao o centro às 7:00 para treinar.,A2,plans,"[""going to""]"
I need to buy grilled chicken at the gas station.,Eu preciso comprar frango grelhado na posto de gasolina.,A2,shopping,"[""need to""]"
I am going to the office at 3:00 p.m. to work out.,Eu vou ao o escritório às 15:00 para treinar.,A2,plans,"[""going to""]"
I am going to the pharmacy at noon to work out.,Eu vou ao a farmácia às meio-dia para treinar.,A2,plans,"[""going to""]"
I am going to the office to go grocery shopping.,Eu vou ao o escritório para fazer compras.,A2,plans,"[""going to""]"
I am going to the park at 1:00 p.m. to pay bills.,Eu vou ao o parque às 13:00 para pagar contas.,A2,plans,"[""going to""]"
I usually take the bike to the park.,Eu normalmente pego o bicicleta para o parque.,A2,transport,"[""present simple""]"
I am going to the park to study English.,Eu vou ao o parque para estudar inglês.,A2,plans,"[""going to""]"
I am going to the supermarket at 7:00 p.m. to watch a movie.,Eu vou ao o supermercado às 19:00 para assistir a um filme.,A2,plans,"[""going to""]"
I am going to the bank at 6:00 a.m. to go grocery shopping.,Eu vou ao o banco às 6:00 para fazer compras.,A2,plans,"[""going to""]"
I need to buy burgers at the gas station.,Eu preciso comprar hambúrgueres na posto de gasolina.,A2,shopping,"[""need to""]"
I am going to the post office at 8:00 a.m. to visit family.,Eu vou ao os correios às 8:00 para visitar a família.,A2,plans,"[""going to""]"
I am going to the office at 8:00 a.m. to work out.,Eu vou ao o escritório às 8:00 para treinar.,A2,plans,"[""going to""]"
I need to buy grilled chicken at the drugstore.,Eu preciso comprar frango grelhado na farmácia.,A2,shopping,"[""need to""]"
I am waiting for Julia at the supermarket.,Eu estou esperando Julia no o supermercado.,A2,conversation,"[""present continuous""]"
I am going to the park at 9:00 a.m. to go for a walk.,Eu vou ao o parque às 9:00 para fazer uma caminhada.,A2,plans,"[""going to""]"
I picked up milk at the bookstore.,Eu peguei leite na livraria.,A2,shopping,"[""present simple""]"
I am going to the post office at 8:00 p.m. to study English.,Eu vou ao os correios às 20:00 para estudar inglês.,A2,plans,"[""going to""]"
I usually take the walk to the library.,Eu normalmente pego o a pé para a biblioteca.,A2,transport,"[""present simple""]"
I have a doctor appointment on Friday.,Eu tenho uma consulta médica na sexta-feira.,A2,work,"[""present simple""]"
I am going to downtown at 8:00 a.m. to work out.,Eu vou ao o centro às 8:00 para treinar.,A2,plans,"[""going to""]"
I am going to the gym at 8:00 p.m. to meet friends.,Eu vou ao a academia às 20:00 para encontrar amigos.,A2,plans,"[""going to""]"
I am going to the park at 8:00 a.m. to visit family.,Eu vou ao o parque às 8:00 para visitar a família.,A2,plans,"[""going to""]"
I am going to the bank at 10:00 a.m. to go for a walk.,Eu vou ao o banco às 10:00 para fazer uma caminhada.,A2,plans,"[""going to""]"
I am going to the gym at 3:00 p.m. to pay bills.,Eu vou ao a academia às 15:00 para pagar contas.,A2,plans,"[""going to""]"
I am going to the post office at 7:00 p.m. to work out.,Eu vou ao os correios às 19:00 para treinar.,A2,plans,"[""going to""]"
I am going to the office at 7:00 a.m. to study English.,Eu vou ao o escritório às 7:00 para estudar inglês.,A2,plans,"[""going to""]"
I picked up medicine at the grocery store.,Eu peguei remédio na mercado.,A2,shopping,"[""present simple""]"
I am going to the office at 6:00 a.m. to work out.,Eu vou ao o escritório às 6:00 para treinar.,A2,plans,"[""going to""]"
I picked up eggs at the bakery.,Eu peguei ovos na padaria.,A2,shopping,"[""present simple""]"
I am going to the gym at 10:00 a.m. to meet friends.,Eu vou ao a academia às 10:00 para encontrar amigos.,A2,plans,"[""going to""]"
I am going to the mall at 6:00 a.m. to study English.,Eu vou ao o shopping às 6:00 para estudar inglês.,A2,plans,"[""going to""]"
I am going to the mall at 10:00 a.m. to go for a walk.,Eu vou ao o shopping às 10:00 para fazer uma caminhada.,A2,plans,"[""going to""]"
I meet my parents at the park on Tuesday.,Eu encontro meus pais no o parque na terça-feira.,A2,daily_routine,"[""present simple""]"
I am going to downtown to watch a movie.,Eu vou ao o centro para assistir a um filme.,A2,plans,"[""going to""]"
I meet my sister at the office on Saturday.,Eu encontro minha irmã no o escritório na sábado.,A2,daily_routine,"[""present simple""]"
I am going to downtown at 1:00 p.m. to study English.,Eu vou ao o centro às 13:00 para estudar inglês.,A2,plans,"[""going to""]"
I am going to the office at 7:00 a.m. to go for a walk.,Eu vou ao o escritório às 7:00 para fazer uma caminhada.,A2,plans,"[""going to""]"
I am going to the pharmacy at 1:00 p.m. to cook at home.,Eu vou ao a farmácia às 13:00 para cozinhar em casa.,A2,plans,"[""going to""]"
I have a meeting on Tuesday.,Eu tenho uma reunião na terça-feira.,A2,work,"[""present simple""]"
I am paying $10 for shampoo.,Eu estou pagando $10 por shampoo.,A2,shopping,"[""present continuous""]"
I need to buy sushi at the grocery store.,Eu preciso comprar sushi na mercado.,A2,shopping,"[""need to""]"
I am paying $5 for shampoo.,Eu estou pagando $5 por shampoo.,A2,shopping,"[""present continuous""]"
I meet my parents at downtown on Monday.,Eu encontro meus pais no o centro na segunda-feira.,A2,daily_routine,"[""present simple""]"
I meet my parents at the post office on Saturday.,Eu encontro meus pais no os correios na sábado.,A2,daily_routine,"[""present simple""]"
I need some batteries and soup.,Eu preciso de pilhas e sopa.,A2,shopping,"[""countable/uncountable""]"
I am going to the gym at 8:00 p.m. to go grocery shopping.,Eu vou ao a academia às 20:00 para fazer compras.,A2,plans,"[""going to""]"
I am going to downtown at 6:00 a.m. to study English.,Eu vou ao o centro às 6:00 para estudar inglês.,A2,plans,"[""going to""]"
I need some shampoo and sushi.,Eu preciso de shampoo e sushi.,A2,shopping,"[""countable/uncountable""]"
I usually take the bus to the mall.,Eu normalmente pego o ônibus para o shopping.,A2,transport,"[""present simple""]"
I am going to the office at noon to work out.,Eu vou ao o escritório às meio-dia para treinar.,A2,plans,"[""going to""]"
I am going to the park at 9:00 a.m. to pay bills.,Eu vou ao o parque às 9:00 para pagar contas.,A2,plans,"[""going to""]"
I am going to downtown at 8:00 p.m. to work out.,Eu vou ao o centro às 20:00 para treinar.,A2,plans,"[""going to""]"
I am going to downtown at 7:00 a.m. to study English.,Eu vou ao o centro às 7:00 para estudar inglês.,A2,plans,"[""going to""]"
I meet my brother at the supermarket on Sunday.,Eu encontro meu irmão no o supermercado na domingo.,A2,daily_routine,"[""present simple""]"
I am going to downtown at 5:00 p.m. to cook at home.,Eu vou ao o centro às 17:00 para cozinhar em casa.,A2,plans,"[""going to""]"
I am going to the bank at 6:00 a.m. to pay bills.,Eu vou ao o banco às 6:00 para pagar contas.,A2,plans,"[""going to""]"
I meet my brother at the library on Wednesday.,Eu encontro meu irmão no a biblioteca na quarta-feira.,A2,daily_routine,"[""present simple""]"
I am going to the post office to work out.,Eu vou ao os correios para treinar.,A2,plans,"[""going to""]"
I am going to the supermarket to watch a movie.,Eu vou ao o supermercado para assistir a um filme.,A2,plans,"[""going to""]"
I am going to the bank at noon to pay bills.,Eu vou ao o banco às meio-dia para pagar contas.,A2,plans,"[""going to""]"
I am going to the office at 5:00 p.m. to study English.,Eu vou ao o escritório às 17:00 para estudar inglês.,A2,plans,"[""going to""]"
I am paying $5 for bread.,Eu estou pagando $5 por pão.,A2,shopping,"[""present continuous""]"
We are visiting New York on Friday.,Nós vamos visitar Nova York na sexta-feira.,A2,travel,"[""future plans""]"
We are visiting Chicago on Wednesday.,Nós vamos visitar Chicago na quarta-feira.,A2,travel,"[""future plans""]"
I need some milk and rice and beans.,Eu preciso de leite e arroz e feijão.,A2,shopping,"[""countable/uncountable""]"
I am going to the pharmacy at 7:00 p.m. to cook at home.,Eu vou ao a farmácia às 19:00 para cozinhar em casa.,A2,plans,"[""going to""]"
I am shopping at the mall.,Eu estou comprando no o shopping.,A2,shopping,"[""present continuous""]"
Turn straight at the downtown.,Vire à em frente no o centro.,A2,transport,"[""directions""]"
I am going to the gym at 7:00 p.m. to watch a movie.,Eu vou ao a academia às 19:00 para assistir a um filme.,A2,plans,"[""going to""]"
I am going to the library to go for a walk.,Eu vou ao a biblioteca para fazer uma caminhada.,A2,plans,"[""going to""]"
I am cooking salad right now.,Eu estou cozinhando salada agora.,A2,food,"[""present continuous""]"
I am going to the bank at 7:00 a.m. to pay bills.,Eu vou ao o banco às 7:00 para pagar contas.,A2,plans,"[""going to""]"
I am going to downtown at 3:00 p.m. to go for a walk.,Eu vou ao o centro às 15:00 para fazer uma caminhada.,A2,plans,"[""going to""]"
I am going to visit family after work.,Eu vou visitar a família depois do trabalho.,A2,plans,"[""going to""]"
I am going to the library at 6:00 a.m. to pay bills.,Eu vou ao a biblioteca às 6:00 para pagar contas.,A2,plans,"[""going to""]"
I have a doctor appointment on Wednesday.,Eu tenho uma consulta médica na quarta-feira.,A2,work,"[""present simple""]"
The bakery is closed on Thursday.,A padaria fecha na quinta-feira.,A2,shopping,"[""present simple""]"
I am going to the library at 9:00 a.m. to study English.,Eu vou ao a biblioteca às 9:00 para estudar inglês.,A2,plans,"[""going to""]"
I am going to the mall at 6:00 a.m. to cook at home.,Eu vou ao o shopping às 6:00 para cozinhar em casa.,A2,plans,"[""going to""]"
I need some bread and sandwich.,Eu preciso de pão e sanduíche.,A2,shopping,"[""countable/uncountable""]"
We are visiting Dallas on Thursday.,Nós vamos visitar Dallas na quinta-feira.,A2,travel,"[""future plans""]"
I am going to the park at 5:00 p.m. to visit family.,Eu vou ao o parque às 17:00 para visitar a família.,A2,plans,"[""going to""]"
I need some toothpaste and grilled chicken.,Eu preciso de pasta de dente e frango grelhado.,A2,shopping,"[""countable/uncountable""]"
I am going to downtown to go for a walk.,Eu vou ao o centro para fazer uma caminhada.,A2,plans,"[""going to""]"
I meet my sister at the post office on Thursday.,Eu encontro minha irmã no os correios na quinta-feira.,A2,daily_routine,"[""present simple""]"
I am going to downtown at 1:00 p.m. to go for a walk.,Eu vou ao o centro às 13:00 para fazer uma caminhada.,A2,plans,"[""going to""]"
I picked up batteries at the grocery store.,Eu peguei pilhas na mercado.,A2,shopping,"[""present simple""]"
I am going to the mall at 1:00 p.m. to go for a walk.,Eu vou ao o shopping às 13:00 para fazer uma caminhada.,A2,plans,"[""going to""]"
The drugstore is closed on Saturday.,A farmácia fecha na sábado.,A2,shopping,"[""present simple""]"
I am going to the pharmacy at 6:00 a.m. to read a book.,Eu vou ao a farmácia às 6:00 para ler um livro.,A2,plans,"[""going to""]"
I have a dentist appointment on Tuesday.,Eu tenho uma consulta no dentista na terça-feira.,A2,work,"[""present simple""]"
I am going to downtown at 10:00 a.m. to go grocery shopping.,Eu vou ao o centro às 10:00 para fazer compras.,A2,plans,"[""going to""]"
I meet my parents at downtown on Thursday.,Eu encontro meus pais no o centro na quinta-feira.,A2,daily_routine,"[""present simple""]"
We are visiting Los Angeles on Monday.,Nós vamos visitar Los Angeles na segunda-feira.,A2,travel,"[""future plans""]"
I am going to the supermarket at 7:00 p.m. to go grocery shopping.,Eu vou ao o supermercado às 19:00 para fazer compras.,A2,plans,"[""going to""]"
I am waiting for Julia at the gym.,Eu estou esperando Julia no a academia.,A2,conversation,"[""present continuous""]"
I meet my brother at the gym on Wednesday.,Eu encontro meu irmão no a academia na quarta-feira.,A2,daily_routine,"[""present simple""]"
I am going to the post office at 8:00 p.m. to work out.,Eu vou ao os correios às 20:00 para treinar.,A2,plans,"[""going to""]"
I meet my parents at the park on Wednesday.,Eu encontro meus pais no o parque na quarta-feira.,A2,daily_routine,"[""present simple""]"
I am going to downtown at 8:00 p.m. to cook at home.,Eu vou ao o centro às 20:00 para cozinhar em casa.,A2,plans,"[""going to""]"
I am going to the park at 1:00 p.m. to cook at home.,Eu vou ao o parque às 13:00 para cozinhar em casa.,A2,plans,"[""going to""]"
I am going to the bank at 8:00 p.m. to pay bills.,Eu vou ao o banco às 20:00 para pagar contas.,A2,plans,"[""going to""]"
I am going to the office to go for a walk.,Eu vou ao o escritório para fazer uma caminhada.,A2,plans,"[""going to""]"
I have a meeting on Friday.,Eu tenho uma reunião na sexta-feira.,A2,work,"[""present simple""]"
I am going to the park to work out.,Eu vou ao o parque para treinar.,A2,plans,"[""going to""]"
I am going to the post office at 3:00 p.m. to study English.,Eu vou ao os correios às 15:00 para estudar inglês.,A2,plans,"[""going to""]"
I meet my friend at the library on Friday.,Eu encontro meu amigo no a biblioteca na sexta-feira.,A2,daily_routine,"[""present simple""]"
I am going to the bank at 6:00 a.m. to watch a movie.,Eu vou ao o banco às 6:00 para assistir a um filme.,A2,plans,"[""going to""]"
The gas station is closed on Thursday.,A posto de gasolina fecha na quinta-feira.,A2,shopping,"[""present simple""]"
I am going to the pharmacy at 9:00 a.m. to study English.,Eu vou ao a farmácia às 9:00 para estudar inglês.,A2,plans,"[""going to""]"
I am going to the supermarket at noon to pay bills.,Eu vou ao o supermercado às meio-dia para pagar contas.,A2,plans,"[""going to""]"
I meet my parents at the park on Saturday.,Eu encontro meus pais no o parque na sábado.,A2,daily_routine,"[""present simple""]"
I am going to the office at noon to cook at home.,Eu vou ao o escritório às meio-dia para cozinhar em casa.,A2,plans,"[""going to""]"
I meet my friend at the park on Wednesday.,Eu encontro meu amigo no o parque na quarta-feira.,A2,daily_routine,"[""present simple""]"
How much is this toothpaste?,Quanto custa este pasta de dente?,A2,conversation,"[""present simple questions""]"
I meet my brother at the mall on Wednesday.,Eu encontro meu irmão no o shopping na quarta-feira.,A2,daily_routine,"[""present simple""]"
I need to buy tacos at the clothing store.,Eu preciso comprar tacos na loja de roupas.,A2,shopping,"[""need to""]"
I am going to downtown at 1:00 p.m. to meet friends.,Eu vou ao o centro às 13:00 para encontrar amigos.,A2,plans,"[""going to""]"
I am going to the library at 7:00 p.m. to work out.,Eu vou ao a biblioteca às 19:00 para treinar.,A2,plans,"[""going to""]"
I am going to the pharmacy at 7:00 p.m. to go for a walk.,Eu vou ao a farmácia às 19:00 para fazer uma caminhada.,A2,plans,"[""going to""]"
I am going to downtown at 7:00 p.m. to go grocery shopping.,Eu vou ao o centro às 19:00 para fazer compras.,A2,plans,"[""going to""]"
I am going to the post office at 7:00 a.m. to meet friends.,Eu vou ao os correios às 7:00 para encontrar amigos.,A2,plans,"[""going to""]"
I am going to the park at noon to pay bills.,Eu vou ao o parque às meio-dia para pagar contas.,A2,plans,"[""going to""]"
I am going to the library at 10:00 a.m. to pay bills.,Eu vou ao a biblioteca às 10:00 para pagar contas.,A2,plans,"[""going to""]"
I am going to the post office at 8:00 p.m. to pay bills.,Eu vou ao os correios às 20:00 para pagar contas.,A2,plans,"[""going to""]"
I am going to the office at 8:00 a.m. to meet friends.,Eu vou ao o escritório às 8:00 para encontrar amigos.,A2,plans,"[""going to""]"
I am going to the office at 5:00 p.m. to pay bills.,Eu vou ao o escritório às 17:00 para pagar contas.,A2,plans,"[""going to""]"
I am going to the office at 6:00 a.m. to meet friends.,Eu vou ao o escritório às 6:00 para encontrar amigos.,A2,plans,"[""going to""]"
I meet my sister at the library on Friday.,Eu encontro minha irmã no a biblioteca na sexta-feira.,A2,daily_routine,"[""present simple""]"
I am going to the park to visit family.,Eu vou ao o parque para visitar a família.,A2,plans,"[""going to""]"
I need some eggs and sushi.,Eu preciso de ovos e sushi.,A2,shopping,"[""countable/uncountable""]"
I am going to the library at 9:00 a.m. to work out.,Eu vou ao a biblioteca às 9:00 para treinar.,A2,plans,"[""going to""]"
I meet my parents at the library on Sunday.,Eu encontro meus pais no a biblioteca na domingo.,A2,daily_routine,"[""present simple""]"
I need to buy pasta at the clothing store.,Eu preciso comprar macarrão na loja de roupas.,A2,shopping,"[""need to""]"
I am going to the gym at 8:00 p.m. to cook at home.,Eu vou ao a academia às 20:00 para cozinhar em casa.,A2,plans,"[""going to""]"
I need some toothpaste and salad.,Eu preciso de pasta de dente e salada.,A2,shopping,"[""countable/uncountable""]"
I am going to the mall at 6:00 a.m. to watch a movie.,Eu vou ao o shopping às 6:00 para assistir a um filme.,A2,plans,"[""going to""]"
I am going to the post office at 7:00 p.m. to read a book.,Eu vou ao os correios às 19:00 para ler um livro.,A2,plans,"[""going to""]"
I am going to the bank at 10:00 a.m. to work out.,Eu vou ao o banco às 10:00 para treinar.,A2,plans,"[""going to""]"
I am going to the library at 7:00 p.m. to meet friends.,Eu vou ao a biblioteca às 19:00 para encontrar amigos.,A2,plans,"[""going to""]"
I need to buy burgers at the bookstore.,Eu preciso comprar hambúrgueres na livraria.,A2,shopping,"[""need to""]"
I am going to the library at 7:00 a.m. to cook at home.,Eu vou ao a biblioteca às 7:00 para cozinhar em casa.,A2,plans,"[""going to""]"
I am going to the post office at 10:00 a.m. to go grocery shopping.,Eu vou ao os correios às 10:00 para fazer compras.,A2,plans,"[""going to""]"
I picked up milk at the gas station.,Eu peguei leite na posto de gasolina.,A2,shopping,"[""present simple""]"
I need to buy sandwich at the drugstore.,Eu preciso comprar sanduíche na farmácia.,A2,shopping,"[""need to""]"
We are visiting New York on Thursday.,Nós vamos visitar Nova York na quinta-feira.,A2,travel,"[""future plans""]"
I am waiting for Kevin at the gym.,Eu estou esperando Kevin no a academia.,A2,conversation,"[""present continuous""]"
I have a dentist appointment on Saturday.,Eu tenho uma consulta no dentista na sábado.,A2,work,"[""present simple""]"
I am going to the office at 8:00 p.m. to study English.,Eu vou ao o escritório às 20:00 para estudar inglês.,A2,plans,"[""going to""]"
I am going to the gym at 1:00 p.m. to study English.,Eu vou ao a academia às 13:00 para estudar inglês.,A2,plans,"[""going to""]"
I am going to the mall at 5:00 p.m. to watch a movie.,Eu vou ao o shopping às 17:00 para assistir a um filme.,A2,plans,"[""going to""]"
I need to buy salad at the gas station.,Eu preciso comprar salada na posto de gasolina.,A2,shopping,"[""need to""]"
I picked up bread at the bakery.,Eu peguei pão na padaria.,A2,shopping,"[""present simple""]"
I am going to the gym at 10:00 a.m. to cook at home.,Eu vou ao a academia às 10:00 para cozinhar em casa.,A2,plans,"[""going to""]"
I am going to the supermarket at 8:00 p.m. to go for a walk.,Eu vou ao o supermercado às 20:00 para fazer uma caminhada.,A2,plans,"[""going to""]"
I am going to the post office to go for a walk.,Eu vou ao os correios para fazer uma caminhada.,A2,plans,"[""going to""]"
I picked up shampoo at the gas station.,Eu peguei shampoo na posto de gasolina.,A2,shopping,"[""present simple""]"
I am going to downtown at 1:00 p.m. to go grocery shopping.,Eu vou ao o centro às 13:00 para fazer compras.,A2,plans,"[""going to""]"
I am going to the post office at 8:00 a.m. to pay bills.,Eu vou ao os correios às 8:00 para pagar contas.,A2,plans,"[""going to""]"
I need to buy salad at the drugstore.,Eu preciso comprar salada na farmácia.,A2,shopping,"[""need to""]"
We are visiting Chicago on Thursday.,Nós vamos visitar Chicago na quinta-feira.,A2,travel,"[""future plans""]"
I picked up batteries at the bookstore.,Eu peguei pilhas na livraria.,A2,shopping,"[""present simple""]"
I am going to the office at 7:00 a.m. to pay bills.,Eu vou ao o escritório às 7:00 para pagar contas.,A2,plans,"[""going to""]"
I am going to downtown at 7:00 p.m. to pay bills.,Eu vou ao o centro às 19:00 para pagar contas.,A2,plans,"[""going to""]"
I meet my brother at the library on Friday.,Eu encontro meu irmão no a biblioteca na sexta-feira.,A2,daily_routine,"[""present simple""]"
I am going to the bank at 1:00 p.m. to cook at home.,Eu vou ao o banco às 13:00 para cozinhar em casa.,A2,plans,"[""going to""]"
I meet my friend at the pharmacy on Wednesday.,Eu encontro meu amigo no a farmácia na quarta-feira.,A2,daily_routine,"[""present simple""]"
